,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Company,Car,Age
327,SPORTZ 1.2 KAPPA VTVT,Manual,47146,2nd Owner,Petrol,434349,Hyundai,Grand i10,7
328,VXI PLUS,Manual,15460,1st Owner,Petrol,424399,Maruti,Alto,1
329,SPORTZ 1.2 VTVT,Manual,83811,1st Owner,Petrol,399699,Hyundai,i20,8
330,SPORTZ 1.2,Manual,46473,2nd Owner,Petrol,547799,Hyundai,Elite i20,6
331,ZDI PLUS,Manual,30973,1st Owner,Diesel,959699,Maruti,Vitara Brezza,3
332,ZETA 1.2 K12 CVT,Automatic,14407,1st Owner,Petrol,942499,Maruti,Baleno,1
333,LXI,Manual,71314,1st Owner,Petrol,321699,Maruti,Alto,3
334,W8 FWD AT,Automatic,90501,1st Owner,Diesel,1125299,Mahindra,XUV500,5
335,J CVT,Automatic,13618,1st Owner,Petrol,905999,Toyota,YARIS,3
336,Sportz(O) 1.2 MT,Manual,34652,1st Owner,Petrol,515599,Hyundai,Grand i10,5
337,VXI,Manual,34338,1st Owner,Petrol + CNG,511899,Maruti,Celerio,3
338,VXI,Manual,31335,2nd Owner,Petrol,378899,Maruti,Swift,8
339,DELTA 1.2 K12,Manual,35245,1st Owner,Petrol,572399,Maruti,Baleno,4
340,VXI PLUS,Manual,99521,1st Owner,Petrol,586799,Maruti,Ciaz,6
341,1.2 S,Manual,70259,1st Owner,Petrol,541299,Hyundai,i20 Active,7
342,ZXI 1.2,Manual,38889,1st Owner,Petrol,506699,Maruti,New  Wagon-R,3
343,Sportz(O) 1.2 MT,Manual,42016,2nd Owner,Petrol,471299,Hyundai,Grand i10,5
344,DELTA 1.2 K12,Manual,45522,1st Owner,Petrol,662399,Maruti,Baleno,3
345,VXI,Manual,11145,1st Owner,Petrol,413599,Maruti,Alto K10,3
346,35TDI PREMIUM,Automatic,91772,2nd Owner,Diesel,1348599,Audi,A3,8
347,VX CVT PETROL,Automatic,31419,1st Owner,Petrol,1264699,Honda,City,2
348,VX MT DIESEL,Manual,49653,1st Owner,Diesel,675099,Honda,City,6
349,ASTA 1.2 (O) VTVT,Manual,49271,3rd Owner,Petrol,452899,Hyundai,Grand i10,5
350,ZDI,Manual,31516,1st Owner,Diesel,883799,Maruti,Vitara Brezza,3
351,1.6 S,Manual,71587,1st Owner,Petrol,805499,Hyundai,Creta,7
352,ZETA 1.2 K12,Manual,59676,1st Owner,Petrol,559099,Maruti,Baleno,6
353,1.5 TITANIUM TI VCT AT,Automatic,12333,1st Owner,Petrol,1056849,Ford,Ecosport,2
354,CRDE 4X4 BS IV,Manual,19767,1st Owner,Diesel,876399,Mahindra,Thar,4
355,ASTA 1.2 (O),Manual,66702,1st Owner,Petrol,607899,Hyundai,Elite i20,6
356,SPORTZ 1.2 AT,Automatic,32873,1st Owner,Petrol,725799,Hyundai,GRAND I10 NIOS,3
357,G MT,Manual,27388,1st Owner,Petrol,984099,Toyota,YARIS,1
358,1.5 TITANIUM TI VCT AT,Automatic,39026,2nd Owner,Petrol,717099,Ford,Ecosport,5
359,VDI,Manual,41437,1st Owner,Diesel,796599,Maruti,Vitara Brezza,3
360,ZDI,Manual,26786,1st Owner,Diesel,655399,Maruti,Vitara Brezza,6
361,DELTA 1.2 K12,Manual,28920,2nd Owner,Petrol,639799,Maruti,Baleno,3
362,MAGNA 1.4 CRDI,Manual,53859,2nd Owner,Diesel,428399,Hyundai,Elite i20,7
363,2.0 TDI  PREMIUM,Automatic,52439,1st Owner,Diesel,1263899,Audi,A3,8
364,DELTA 1.2 K12,Manual,50712,1st Owner,Petrol,595899,Maruti,Baleno,4
365,W8(O),Manual,68515,2nd Owner,Diesel,897899,Mahindra,XUV 3OO,3
366,SPORTZ 1.2 KAPPA VTVT,Manual,79292,1st Owner,Petrol,486349,Hyundai,Grand i10,5
367,SPORTZ 1.2 KAPPA VTVT,Manual,68268,1st Owner,Petrol,458799,Hyundai,Grand i10,6
368,LXI OPT,Manual,5145,1st Owner,Petrol,407699,Maruti,Alto,1
369,DELTA 1.2 K12 AMT,Automatic,44161,1st Owner,Petrol,567899,Maruti,IGNIS,4
370,1.5 TREND TDCI,Manual,33832,2nd Owner,Diesel,420199,Ford,Ecosport,9
371,VDI,Manual,49770,2nd Owner,Diesel,723399,Maruti,Vitara Brezza,4
372,DELTA 1.2 K12,Manual,60820,1st Owner,Petrol,539899,Maruti,Baleno,6
373,DELTA 1.3 DDIS SHVS,Manual,55856,1st Owner,Diesel,635899,Maruti,Ciaz,5
374,ZETA 1.2 K12,Manual,32387,1st Owner,Petrol,702399,Maruti,Baleno,3
375,ZXI,Manual,56793,1st Owner,Petrol,227499,Maruti,Ritz,13
