,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Company,Car,Age
556,Magna Executive 1.2,Manual,30023,1st Owner,Petrol,536399,Hyundai,Elite i20,4
557,1.5 SIGMA SHVS,Manual,18855,1st Owner,Petrol,885699,Maruti,Ciaz,1
558,VXI,Manual,37291,2nd Owner,Petrol,367899,Maruti,Swift Dzire,9
559,LXI,Manual,24668,1st Owner,Petrol,353899,Maruti,Celerio,7
560,SIGMA 1.2 K12,Manual,25009,2nd Owner,Petrol,545299,Maruti,Baleno,3
561,S10,Manual,52999,1st Owner,Diesel,1074399,Mahindra,Scorpio,5
562,VXI 1.2 BS IV,Manual,49879,1st Owner,Petrol,387099,Maruti,Swift Dzire,9
563,1.0 LXI (O),Manual,6943,1st Owner,Petrol,587199,Maruti,New  Wagon-R,0
565,VXI,Manual,51321,1st Owner,Petrol,441899,Maruti,Swift,8
566,VX MT PETROL,Manual,43748,1st Owner,Petrol,654299,Honda,City,8
567,MAGNA PLUS,Manual,38231,1st Owner,Petrol,319399,Hyundai,Eon,6
568,RXT,Manual,31486,1st Owner,Petrol,350699,Renault,Kwid,5
569,VXI 1.0,Manual,20862,1st Owner,Petrol,540299,Maruti,New  Wagon-R,2
570,1.6 CRDI SX + AT,Automatic,74743,1st Owner,Diesel,987399,Hyundai,Verna,4
571,1.5 TITANIUMTDCI OPT,Manual,156491,1st Owner,Diesel,408299,Ford,Ecosport,8
572,J S,Manual,128020,2nd Owner,Petrol + CNG,772499,Toyota,Corolla Altis,5
573,V MT PETROL,Manual,41236,1st Owner,Petrol,831039,Honda,City,3
574,LXI CNG,Manual,17920,1st Owner,Petrol + CNG,507699,Maruti,Alto,1
575,ZXI,Manual,96633,1st Owner,Petrol,372999,Maruti,Swift,10
576,K8 6 STR,Manual,19930,1st Owner,Petrol,460899,Mahindra,Kuv100,6
577,S CRDI,Manual,15734,1st Owner,Diesel,1450499,Hyundai,Creta,2
578,VXI,Manual,41332,1st Owner,Petrol,634799,Maruti,Dzire,3
579,RXT,Manual,25236,1st Owner,Petrol,342199,Renault,Kwid,4
580,CRDE 4X4 BS IV,Manual,14613,2nd Owner,Diesel,710699,Mahindra,Thar,5
581,VXI,Manual,21348,1st Owner,Petrol,560599,Maruti,Swift,4
582,LDI BS IV,Manual,50409,2nd Owner,Diesel,303099,Maruti,Swift Dzire,9
584,1.2 SPORTS PLUS VTVT,Manual,28785,1st Owner,Petrol,698099,Hyundai,Elite i20,2
585,LXI CNG,Manual,85445,1st Owner,Petrol + CNG,410499,Maruti,Wagon R 1.0,5
586,VXI 1.2 BS IV,Manual,34201,2nd Owner,Petrol,417299,Maruti,Swift Dzire,8
587,ZXI+,Manual,14030,1st Owner,Petrol,762599,Maruti,Swift,2
588,VXI,Manual,19064,1st Owner,Petrol,418699,Maruti,Wagon R 1.0,4
589,1.0 RXL,Manual,56833,1st Owner,Petrol,307199,Renault,Kwid,5
590,S CRDI,Manual,34068,1st Owner,Diesel,1450499,Hyundai,Creta,1
591,1.2 SAT I VTEC,Automatic,21952,1st Owner,Petrol + CNG,720399,Honda,Amaze,4
592,XZA 1.2 REVOTRON,Automatic,36134,2nd Owner,Petrol,417399,Tata,Tiago,5
593,1.2 i-VTEC VX MT,Manual,18472,1st Owner,Petrol,719499,Honda,WR-V,5
594,MAGNA 1.2 VTVT,Manual,46249,1st Owner,Petrol,393599,Hyundai,Grand i10,7
595,FLUIDIC 1.6 SX VTVT,Manual,78904,1st Owner,Petrol,516599,Hyundai,Verna,8
596,ZX CVT,Automatic,10277,1st Owner,Petrol,1294399,Honda,City,2
597,XM 1.2 REVOTRON,Manual,77099,1st Owner,Petrol + CNG,378799,Tata,Tiago,5
598,K8 5 STR,Manual,71807,1st Owner,Petrol,353499,Mahindra,Kuv100,6
599,SPORTZ 1.2,Manual,74012,1st Owner,Petrol,448499,Hyundai,Elite i20,8
600,VXI PLUS,Manual,83441,1st Owner,Petrol + CNG,659199,Maruti,Ciaz,6
601,DELTA 1.2 K12,Manual,19571,1st Owner,Petrol,564299,Maruti,Baleno,5
602,S7 120 BHP 2WD,Manual,42162,1st Owner,Diesel,1093699,Mahindra,Scorpio,4
603,W8 FWD,Manual,79472,2nd Owner,Diesel,584699,Mahindra,XUV500,8
604,85 PS RXE,Manual,159515,1st Owner,Diesel,383499,Renault,Duster,8
605,ZDI Plus AMT,Automatic,28447,3rd Owner,Diesel,680699,Maruti,Dzire,4
606,Magna 1.2 AT  VTVT,Automatic,37536,1st Owner,Petrol,521299,Hyundai,Grand i10,5
607,1.5 EMT I DTEC,Manual,48160,1st Owner,Diesel,296499,Honda,Amaze,9
608,GD,Manual,119092,1st Owner,Diesel,297199,Toyota,Etios Liva,9
609,VXI,Manual,56195,1st Owner,Petrol,529299,Maruti,Swift,4
610,DELTA 1.3 DDIS SHVS,Manual,68559,1st Owner,Diesel,608499,Maruti,Ciaz,5
611,W8 FWD,Manual,72062,1st Owner,Diesel,551099,Mahindra,XUV500,9
612,LXI CNG (O),Manual,39317,1st Owner,Petrol + CNG,445799,Maruti,Alto,2
613,VDI ABS,Manual,119766,3rd Owner,Diesel,419799,Maruti,Ertiga,9
614,VXI,Manual,42236,2nd Owner,Petrol,315799,Maruti,Alto 800,3
615,VDI ABS,Manual,161137,1st Owner,Diesel,465899,Maruti,Ertiga,9
616,VXI CNG,Manual,73708,1st Owner,Petrol + CNG,495299,Maruti,Celerio,4
617,VXI (O) AMT,Automatic,59822,2nd Owner,Petrol,330999,Maruti,Alto K10,4
618,HIGHLINE PLUS DSG 1.5,Automatic,40325,1st Owner,Diesel,628799,Volkswagen,Ameo,5
619,1.5 TREND+ TDCI,Manual,78972,1st Owner,Diesel,564599,Ford,Ecosport,5
620,1.4 E PLUS CRDI,Manual,95601,1st Owner,Diesel,771499,Hyundai,Creta,5
621,VDI ABS,Manual,58807,2nd Owner,Diesel,463199,Maruti,Swift Dzire,6
622,VDI ABS,Manual,106627,1st Owner,Diesel,397899,Maruti,Swift,6
623,SPORTZ 1.1 CRDI,Manual,87019,2nd Owner,Diesel,356199,Hyundai,Grand i10,7
624,LDI BS IV,Manual,46867,1st Owner,Diesel,390899,Maruti,Swift,7
625,LDI BS IV,Manual,47617,1st Owner,Diesel,326699,Maruti,Swift,8
626,VDI,Manual,30528,1st Owner,Diesel,408499,Maruti,Swift,7
627,3.0 AT 4X2,Automatic,76155,1st Owner,Diesel,1226199,Toyota,Fortuner,9
628,VDI ABS,Manual,47493,1st Owner,Diesel,418499,Maruti,Swift,7
629,1.5 TITANIUMTDCI OPT,Manual,50178,1st Owner,Diesel,438599,Ford,Ecosport,8
630,ZDI,Manual,72730,1st Owner,Diesel,593599,Maruti,Vitara Brezza,6
631,VDI,Manual,76978,1st Owner,Diesel,319699,Maruti,Swift,9
632,1.5 AMBIENTE TDCI,Manual,114858,1st Owner,Diesel,352699,Ford,Ecosport,9
633,2.5 VX 8 STR BS IV,Manual,70100,1st Owner,Diesel,989999,Toyota,Innova,8
634,LXI,Manual,19919,1st Owner,Petrol,566799,Maruti,Swift,2
635,MAGNA 1.2 KAPPA2,Manual,51410,1st Owner,Petrol,248599,Hyundai,i10,10
636,DELTA 1.2 K12 AMT,Automatic,61116,1st Owner,Petrol,476999,Maruti,IGNIS,5
637,1.2 V CVT I VTEC,Automatic,53849,1st Owner,Petrol,672199,Honda,Amaze,4
638,LXI CNG,Manual,56254,1st Owner,Petrol + CNG,437599,Maruti,Wagon R 1.0,4
639,VXI,Manual,25068,1st Owner,Petrol,398999,Maruti,Swift Dzire,9
640,DELTA 1.2 K12,Manual,37697,1st Owner,Petrol,586799,Maruti,Baleno,4
641,LXI CNG,Manual,77117,2nd Owner,Petrol + CNG,369999,Maruti,Wagon R 1.0,5
642,SPORTZ 1.2 KAPPA VTVT,Manual,52793,1st Owner,Petrol,497899,Hyundai,Grand i10,4
643,ZXI,Manual,67620,1st Owner,Petrol,332199,Maruti,Swift,11
644,VXI CNG,Manual,69575,1st Owner,Petrol + CNG,381299,Maruti,Celerio,6
645,1.6 SX PLUS VTVT ANNIVERSARY EDITION,Manual,51297,2nd Owner,Petrol,851799,Hyundai,Creta,6
646,LXI,Manual,95793,1st Owner,Petrol,232699,Maruti,Alto 800,7
647,1.6 SX VTVT,Manual,24712,1st Owner,Petrol,902899,Hyundai,Verna,4
648,RXT 1.0 EASY-R  AT,Automatic,38219,2nd Owner,Petrol,266499,Renault,Kwid,5
649,SPORTZ 1.2 KAPPA2,Manual,43384,1st Owner,Petrol,320599,Hyundai,i10,9
650,LXI CNG 1.0 L,Manual,19087,1st Owner,Petrol + CNG,608899,Maruti,New  Wagon-R,1
652,VXI OPT,Manual,48136,1st Owner,Petrol,372999,Maruti,Alto K10,5
653,MAGNA 1.1 IRDE2,Manual,45657,1st Owner,Petrol,350999,Hyundai,i10,7
654,XZ 1.2 REVOTRON,Manual,649,1st Owner,Petrol,731399,Tata,TIGOR,1
655,XE 1.2 REVOTRON,Manual,16179,1st Owner,Petrol,449499,Tata,Tiago,4
